epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8114,1.5618,4.09735,1.84888,0.00446,0.74844,0.0659,0.02359,1.83296,4.90328,2.19815,0.000272428,0.000272428,0.000272428
2,65.6957,1.48157,3.6172,1.78564,0.78654,0.09452,0.16046,0.06784,1.87868,4.66478,2.44166,0.000544648,0.000544648,0.000544648
3,78.5855,1.54764,3.3396,1.84358,0.13556,0.24099,0.13774,0.04606,2.23518,5.12891,2.78646,0.000811371,0.000811371,0.000811371
4,91.1873,1.58965,3.11909,1.82886,0.60423,0.19848,0.18811,0.08598,1.86965,4.98517,2.36912,0.00080826,0.00080826,0.00080826
5,103.707,1.55823,2.92052,1.81214,0.28221,0.28071,0.27466,0.1242,1.92692,4.0768,2.3709,0.000800013,0.000800013,0.000800013
6,116.356,1.50272,2.74025,1.75327,0.58472,0.23034,0.2897,0.12764,1.9188,4.21752,2.31459,0.000791767,0.000791767,0.000791767
7,128.403,1.48867,2.61996,1.73602,0.36572,0.37386,0.28395,0.15409,1.66301,3.43438,2.15922,0.00078352,0.00078352,0.00078352
8,140.799,1.45435,2.5575,1.71307,0.47012,0.30733,0.33262,0.17557,1.74858,3.58863,2.27725,0.000775273,0.000775273,0.000775273
9,154.374,1.43786,2.4257,1.68244,0.37571,0.44971,0.36922,0.19278,1.71584,3.09292,2.19736,0.000767026,0.000767026,0.000767026
10,167.617,1.41657,2.33827,1.67659,0.3009,0.36144,0.32636,0.1476,1.81415,3.2794,2.29218,0.00075878,0.00075878,0.00075878
11,181.242,1.3926,2.25937,1.66995,0.59675,0.42014,0.43261,0.25194,1.59037,2.91846,2.10228,0.000750533,0.000750533,0.000750533
12,194.056,1.37784,2.23704,1.67246,0.36162,0.39648,0.36718,0.19868,1.79794,2.93028,2.24917,0.000742286,0.000742286,0.000742286
13,207.225,1.35259,2.10834,1.62985,0.46239,0.43416,0.46829,0.27411,1.63458,2.50828,2.12248,0.00073404,0.00073404,0.00073404
14,220.362,1.36518,2.08388,1.62423,0.58191,0.36603,0.44384,0.25779,1.66965,2.75722,2.16794,0.000725793,0.000725793,0.000725793
15,233.441,1.31032,1.98302,1.59234,0.40888,0.38432,0.3516,0.17131,1.89648,3.47314,2.25283,0.000717546,0.000717546,0.000717546
16,246.504,1.28359,1.94098,1.57453,0.5871,0.40003,0.46652,0.24025,1.71914,2.69401,2.23944,0.000709299,0.000709299,0.000709299
17,259.594,1.29633,1.87687,1.5772,0.47772,0.44932,0.42348,0.24528,1.68285,2.61449,2.12978,0.000701053,0.000701053,0.000701053
18,272.916,1.2951,1.86365,1.57087,0.55825,0.40958,0.48701,0.25591,1.76975,2.4669,2.23699,0.000692806,0.000692806,0.000692806
19,286.22,1.25888,1.76623,1.53206,0.52663,0.4561,0.46725,0.24688,1.70508,2.48326,2.19615,0.000684559,0.000684559,0.000684559
20,299.356,1.26371,1.72894,1.52864,0.54293,0.39796,0.4014,0.24458,1.69127,2.46652,2.11599,0.000676313,0.000676313,0.000676313
21,312.612,1.232,1.71743,1.51018,0.36316,0.58782,0.44629,0.24633,1.74543,2.53908,2.21973,0.000668066,0.000668066,0.000668066
22,325.852,1.23379,1.67149,1.50834,0.40585,0.48671,0.46535,0.23672,1.71022,2.42892,2.16165,0.000659819,0.000659819,0.000659819
23,339.451,1.2522,1.69148,1.53747,0.59542,0.48392,0.52896,0.27958,1.67689,2.27538,2.12373,0.000651573,0.000651573,0.000651573
24,354.567,1.22541,1.59684,1.49917,0.64035,0.45888,0.53883,0.29968,1.74352,2.23253,2.15711,0.000643326,0.000643326,0.000643326
25,368.73,1.22438,1.59761,1.477,0.49129,0.5263,0.51425,0.28115,1.72338,2.25326,2.23622,0.000635079,0.000635079,0.000635079
26,383.547,1.20763,1.54822,1.49338,0.65478,0.52159,0.58563,0.3251,1.62972,2.16791,2.03948,0.000626832,0.000626832,0.000626832
27,397.319,1.18704,1.5268,1.46082,0.65936,0.47885,0.49306,0.26668,1.63775,2.38303,2.0796,0.000618586,0.000618586,0.000618586
28,410.386,1.15031,1.53134,1.44852,0.41895,0.49743,0.48693,0.27896,1.63334,2.37148,2.11382,0.000610339,0.000610339,0.000610339
29,423.417,1.16315,1.52455,1.45955,0.3309,0.51142,0.41994,0.23655,1.91048,2.29087,2.2634,0.000602092,0.000602092,0.000602092
30,437.242,1.16394,1.46097,1.44338,0.61182,0.47581,0.5215,0.2953,1.75689,2.26616,2.17634,0.000593846,0.000593846,0.000593846
31,450.852,1.15068,1.46344,1.44828,0.47334,0.5518,0.48006,0.26415,1.71655,2.18357,2.16925,0.000585599,0.000585599,0.000585599
32,464.767,1.15694,1.45755,1.46358,0.58351,0.5079,0.53873,0.27562,1.75778,2.14846,2.17271,0.000577352,0.000577352,0.000577352
33,479.355,1.12942,1.40469,1.43742,0.54176,0.53617,0.51485,0.29563,1.68867,2.20836,2.15556,0.000569106,0.000569106,0.000569106
34,494.241,1.14343,1.39453,1.44005,0.53736,0.56412,0.55442,0.32693,1.58673,1.98171,2.039,0.000560859,0.000560859,0.000560859
35,509.003,1.11445,1.30455,1.3959,0.41156,0.53916,0.51288,0.27367,1.70928,2.11626,2.1178,0.000552612,0.000552612,0.000552612
36,523.66,1.09532,1.32843,1.3816,0.5039,0.53817,0.52335,0.30555,1.69875,2.01201,2.14002,0.000544365,0.000544365,0.000544365
37,538.167,1.10688,1.31812,1.41292,0.58989,0.47794,0.54587,0.31233,1.69588,2.2233,2.14437,0.000536119,0.000536119,0.000536119
38,552.182,1.08253,1.31469,1.39778,0.47272,0.5384,0.51208,0.27568,1.73741,2.13746,2.11207,0.000527872,0.000527872,0.000527872
39,565.988,1.1117,1.26668,1.3977,0.61874,0.41944,0.44603,0.25747,1.70078,2.28065,2.14007,0.000519625,0.000519625,0.000519625
40,579.926,1.07343,1.26927,1.37675,0.58958,0.47706,0.52944,0.32801,1.60751,1.95786,2.04035,0.000511379,0.000511379,0.000511379
41,594.055,1.06522,1.2371,1.38278,0.47486,0.59057,0.55644,0.25788,1.83724,2.29971,2.23466,0.000503132,0.000503132,0.000503132
42,607.87,1.05783,1.18288,1.36089,0.6005,0.54084,0.54321,0.31283,1.74114,2.03009,2.20293,0.000494885,0.000494885,0.000494885
43,622.24,1.05471,1.15901,1.34957,0.48058,0.50102,0.48231,0.26345,1.77156,2.03073,2.21548,0.000486639,0.000486639,0.000486639
44,636.489,1.02506,1.15462,1.34347,0.5456,0.59429,0.59157,0.33502,1.70364,2.0013,2.13406,0.000478392,0.000478392,0.000478392
45,650.581,1.00656,1.15744,1.32083,0.62753,0.46016,0.52983,0.28987,1.80712,2.07646,2.30074,0.000470145,0.000470145,0.000470145
46,663.967,1.02341,1.14344,1.32731,0.48608,0.44608,0.45627,0.25941,1.73088,2.45561,2.22408,0.000461898,0.000461898,0.000461898
